Year,Month,DayofMonth,DayOfWeek,Origin,Dest,DepTime,ArrTime,UniqueCarrier,DepDelay
2012,2,13,5,RAM,RAM,1637,032,HA,20
2011,9,18,3,RMP,RMP,48,1745,AA,-12
2011,8,4,3,RAM,AAR,2022,420,NK,78
2019,8,3,2,LAX,AAR,168,95,HA,83
2013,5,9,2,SMP,SMP,947,1024,HA,140
2021,2,1,3,SMP,JFK,200,056,AA,103
2011,1,14,4,LAX,RMP,107,2331,HA,104
2019,11,9,4,RMP,SMP,1710,236,HA,183
2023,2,3,1,JFK,ABQ,137,2327,DL,46
2022,10,3,6,LAH,SMP,226,653,AA,73
2022,3,8,6,LAH,LAX,2034,248,NK,67
2020,7,12,3,LAX,AAR,184,124,HA,144
2018,10,11,7,LAH,RAM,1042,523,HA,-6
2016,12,20,4,LAH,RMP,228,1458,AA,172
2022,12,30,7,LAH,RAM,71,2310,AA,-4
2010,3,2,6,SMP,LAH,192,447,AA,161
2024,12,8,4,LAH,AAR,548,74,AA,91
2011,9,27,1,JFK,SMP,512,1434,DL,158
2015,3,24,5,SMP,SMP,110,2159,HA,-8
2018,11,14,2,ABQ,LAX,438,107,NK,130
2021,3,20,4,ABQ,SMP,749,166,AA,14
2012,9,17,2,RAM,LAH,95,010,DL,152
2013,3,13,4,LAH,LAX,336,1917,DL,176
2018,1,8,4,RAM,AAR,1441,1253,DL,153
2016,1,20,5,ABQ,AAR,1335,1736,AA,181
2017,7,21,3,LAX,ABQ,125,1822,HA,186
2022,12,29,2,LAX,RAM,165,113,HA,44
2015,7,21,2,AAR,JFK,712,1043,AA,29
2010,12,21,5,AAR,ABQ,1211,1051,DL,26
2012,12,30,2,LAH,RAM,1441,042,AA,185
2016,12,18,6,JFK,LAH,1732,1338,DL,50
2013,5,23,4,LAH,SMP,038,230,NK,89
2024,6,5,6,RMP,RMP,712,1645,HA,200
2014,9,1,2,SMP,AAR,2237,143,NK,36
2017,6,9,2,RMP,RAM,852,949,AA,182
2015,1,16,6,SMP,RAM,1929,136,HA,64
2011,7,22,2,JFK,RAM,811,1845,DL,13
2015,11,21,3,RAM,LAX,231,1249,NK,88
2016,5,28,6,JFK,LAX,1054,1329,NK,18
2012,9,27,5,AAR,LAX,11,180,NK,193
2010,3,19,3,RMP,LAH,2142,1924,AA,178
2010,4,2,7,SMP,RAM,2049,416,NK,34
2024,3,13,5,LAH,LAX,1528,841,NK,41
2022,8,11,6,ABQ,RMP,1840,1519,DL,144
2020,7,8,4,ABQ,LAH,323,2244,HA,56
2019,6,29,6,LAX,LAX,1547,1118,NK,134
2021,4,2,6,RMP,JFK,610,160,AA,72
2019,5,6,2,RMP,RAM,1912,316,DL,191
2019,12,2,5,RMP,LAX,33,733,DL,113
2023,4,15,3,ABQ,LAH,1458,2236,AA,81
2023,11,10,4,RMP,RAM,132,1313,DL,-1
2010,11,10,2,ABQ,SMP,105,2055,HA,91
2019,8,20,4,RAM,LAH,1341,2050,NK,-2
2016,8,8,4,RAM,LAH,185,1547,DL,161
2017,5,6,6,SMP,RMP,636,54,NK,144
2014,3,18,5,SMP,LAX,2253,209,NK,16
2022,5,30,7,ABQ,SMP,1116,1523,NK,9
2023,5,17,3,LAX,JFK,1732,180,NK,134
2020,4,22,6,LAX,JFK,1523,1253,AA,14
2021,6,18,6,LAH,SMP,254,1745,DL,-22
2020,5,8,2,AAR,LAH,821,1247,NK,129
2024,4,1,5,SMP,SMP,1646,2354,HA,147
2024,4,18,5,RMP,AAR,1559,1153,NK,19
2013,2,14,1,ABQ,RAM,2346,2352,DL,115
2011,10,1,5,AAR,ABQ,1749,217,NK,122
2012,1,20,6,AAR,SMP,2031,1411,HA,97
2017,12,3,1,RAM,ABQ,1732,1533,NK,182
2011,9,5,2,ABQ,LAH,2253,1236,DL,11
2016,12,18,2,ABQ,ABQ,1045,222,NK,172
2016,3,5,1,JFK,RMP,1329,2345,HA,62
2023,2,18,5,RAM,AAR,816,832,HA,163
2010,5,23,5,JFK,AAR,2345,1636,NK,6
2024,9,19,3,LAX,LAX,1723,1234,DL,55
2022,1,21,2,RAM,LAH,1633,447,AA,31
2020,10,1,1,AAR,RAM,88,143,NK,130
2017,2,9,2,LAX,SMP,2252,209,HA,32
2011,2,1,7,RMP,AAR,327,1525,NK,172
2018,5,28,6,LAH,RMP,231,1422,AA,88
2020,1,31,7,JFK,RAM,56,123,NK,192
2024,6,5,4,LAH,LAX,60,1358,AA,138
2010,2,9,3,ABQ,ABQ,2154,441,HA,35
2013,12,20,3,JFK,LAX,528,1354,NK,3
2021,11,31,4,SMP,ABQ,1645,1728,AA,80
2014,6,12,2,SMP,AAR,356,1636,AA,189
2022,9,4,5,RAM,LAX,53,1919,NK,83
2022,9,9,2,AAR,ABQ,1447,2122,HA,137
2022,2,6,7,AAR,LAX,016,635,NK,167
2014,5,18,2,SMP,RAM,1411,831,HA,151
2011,1,4,1,LAX,RAM,2337,1318,NK,21
2016,2,2,4,RMP,LAH,1648,09,HA,196
2014,12,14,3,LAX,AAR,2032,1219,NK,173
2021,2,26,1,SMP,RAM,321,418,HA,167
2010,9,24,1,ABQ,RMP,1859,1926,HA,176
2017,12,2,4,LAX,ABQ,1519,132,DL,36
2018,5,25,3,AAR,ABQ,2212,83,AA,47
2020,1,22,7,LAX,LAH,420,456,NK,39
2019,7,27,4,RMP,JFK,839,655,HA,172
2018,4,25,2,JFK,RMP,2157,112,AA,8
2017,4,27,7,JFK,JFK,07,2153,NK,19
