Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,16,3,707,705,919,910,WN,3513,N655WN,132,125,111,9,2,SDF,TPA,727,4,17,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,1341,1325,1458,1435,WN,588,N769SW,77,70,57,23,16,HOU,LIT,393,5,15,0,,0,5,0,7,0,11
2009,1,5,6,818,820,1023,1025,WN,387,N786SW,65,65,50,-2,-2,MDW,CLE,307,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,949,950,1526,1545,WN,1060,N281WN,217,235,201,-19,-1,PHX,TPA,1788,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1152,1150,1301,1300,WN,2016,N629SW,189,190,171,1,2,MCI,LAS,1140,7,11,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1212,1215,1259,1310,WN,304,N391SW,47,55,32,-11,-3,LAS,ONT,197,4,11,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1737,1655,1850,1830,WN,1209,N496WN,193,215,183,20,42,MCI,SAN,1333,2,8,0,,0,0,0,0,0,20
2008,1,19,6,1442,1430,1654,1650,WN,1024,N641SW,72,80,64,4,12,ELP,SAT,496,4,4,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1333,1330,1440,1445,WN,1605,N687SW,67,75,55,-5,3,OAK,ONT,361,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1948,1940,2124,2135,WN,1830,N712SW,216,235,202,-11,8,MCI,SMF,1442,3,11,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,900,855,1002,1000,WN,3581,N326SW,62,65,47,2,5,OAK,BUR,325,3,12,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1223,1220,1451,1505,WN,3660,N705SW,148,165,132,-14,3,RSW,PHL,992,6,10,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,813,810,1102,1105,WN,70,N364SW,109,115,83,-3,3,SEA,SLC,689,16,10,0,,0,NA,NA,NA,NA,NA
