YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,10,30,5,DL,2778,N980AT,12892,14771,2000,1958,-2,16,2014,85,77,57,337,2111,4,2125,2115,-10,0,0,,,,,,
2015,2,5,4,WN,880,N550WN,OMA,LAS,1450,1446,-4,11,1457,175,169,154,1099,1531,4,1545,1535,-10,0,0,,,,,,
2015,3,7,6,MQ,3192,N612MQ,ORD,GRR,1525,1540,15,11,1551,46,39,24,137,1715,4,1711,1719,8,0,0,,,,,,
2015,7,25,6,AA,969,N7AMAA,MIA,DFW,1100,1104,4,19,1123,185,173,142,1121,1245,12,1305,1257,-8,0,0,,,,,,
2015,12,3,4,UA,344,N35236,PHX,DEN,1440,1438,-2,9,1447,103,97,81,602,1608,7,1623,1615,-8,0,0,,,,,,
2015,2,20,5,MQ,3545,N675MQ,MIA,EYW,1640,1638,-2,9,1647,53,39,28,125,1715,2,1733,1717,-16,0,0,,,,,,
2015,3,2,1,UA,1120,N30401,SFO,SEA,1710,1804,54,15,1819,132,124,102,679,2001,7,1922,2008,46,0,0,,0,0,0,46,0
2015,6,16,2,AA,259,N3JXAA,DFW,SFO,1105,1101,-4,11,1112,225,207,190,1464,1222,6,1250,1228,-22,0,0,,,,,,
2015,5,21,4,B6,553,N607JB,JFK,PBI,1400,1404,4,53,1457,177,206,150,1028,1727,3,1657,1730,33,0,0,,29,0,4,0,0
2015,12,11,5,WN,925,N361SW,PHX,MCI,1845,2017,92,7,2024,145,132,120,1044,2324,5,2210,2329,79,0,0,,0,0,11,68,0
2015,5,4,1,UA,456,N477UA,IAH,LGA,1854,1851,-3,12,1903,216,205,186,1416,2309,7,2330,2316,-14,0,0,,,,,,
2015,3,23,1,DL,1172,N686DA,ATL,EGE,1000,1001,1,13,1014,217,206,189,1312,1123,4,1137,1127,-10,0,0,,,,,,
2015,7,6,1,OO,4553,N629BR,MKE,CVG,1703,1721,18,15,1736,68,74,52,318,1928,7,1911,1935,24,0,0,,6,0,0,18,0
2015,8,2,7,DL,836,N665US,HNL,ATL,1550,1601,11,22,1623,498,480,449,4502,0552,9,0608,0601,-7,0,0,,,,,,
2015,1,11,7,NK,230,N618NK,FLL,ATL,2145,2144,-1,21,2205,107,116,87,581,2332,8,2332,2340,8,0,0,,,,,,
2015,4,18,6,NK,365,N510NK,MSY,DFW,1420,1414,-6,35,1449,97,113,69,447,1558,9,1557,1607,10,0,0,,,,,,
2015,6,24,3,UA,573,N402UA,DEN,MSP,1010,0956,-14,34,1030,122,132,90,680,1300,8,1312,1308,-4,0,0,,,,,,
2015,6,22,1,WN,4807,N780SW,ATL,MCO,0605,0602,-3,14,0616,90,82,61,404,0717,7,0735,0724,-11,0,0,,,,,,
2015,2,27,5,EV,2531,N902EV,GRK,DFW,1858,,,,,52,,,134,,,1950,,,0,1,A,,,,,
2015,3,27,5,DL,1561,N908DA,ATL,PHL,1115,1113,-2,23,1136,124,111,83,666,1259,5,1319,1304,-15,0,0,,,,,,
2015,3,12,4,WN,4101,N653SW,CHS,BWI,2125,2118,-7,6,2124,95,86,67,472,2231,13,2300,2244,-16,0,0,,,,,,
2015,8,5,3,B6,2702,N236JB,JFK,BUF,0743,0742,-1,14,0756,86,74,58,301,0854,2,0909,0856,-13,0,0,,,,,,
2015,11,24,2,WN,1937,N745SW,LGA,ATL,1625,1815,110,18,1833,175,141,115,762,2028,8,1920,2036,76,0,0,,0,0,1,75,0
2015,5,15,5,WN,912,N647SW,LAS,SMF,2100,2210,70,18,2228,85,98,73,397,2341,7,2225,2348,83,0,0,,13,0,4,66,0
2015,5,23,6,VX,751,N636VA,SFO,SAN,0950,1001,11,12,1013,90,84,69,447,1122,3,1120,1125,5,0,0,,,,,,
2015,8,9,7,DL,1911,N927DN,DEN,ATL,0055,0052,-3,13,0105,178,162,142,1199,0527,7,0553,0534,-19,0,0,,,,,,
2015,12,1,2,NK,251,N522NK,ATL,TPA,1935,1957,22,12,2009,81,87,60,406,2109,15,2056,2124,28,0,0,,6,0,22,0,0
2015,8,31,1,UA,1481,N66808,ORD,LAX,1929,1939,10,12,1951,271,242,224,1744,2135,6,2200,2141,-19,0,0,,,,,,
2015,2,11,3,OO,6291,N578SW,FAT,SFO,0630,0633,3,11,0644,60,53,38,158,0722,4,0730,0726,-4,0,0,,,,,,
2015,9,23,3,AA,340,N4XGAA,MCI,DFW,1433,1448,15,13,1501,104,93,70,460,1611,10,1617,1621,4,0,0,,,,,,
2015,5,18,1,DL,1101,N376NW,MSP,BWI,1915,2000,45,20,2020,151,,,936,0203,7,2246,0210,,1,0,,,,,,
2015,8,15,6,OO,3465,N217AG,ONT,PDX,2035,2020,-15,10,2030,127,128,114,838,2224,4,2242,2228,-14,0,0,,,,,,
2015,8,18,2,WN,3117,N474WN,BOI,LAS,1630,1643,13,9,1652,100,91,76,519,1708,6,1710,1714,4,0,0,,,,,,
2015,1,5,1,MQ,3623,N615MQ,TYR,DFW,1310,1311,1,11,1322,50,67,34,102,1356,22,1400,1418,18,0,0,,18,0,0,0,0
2015,9,30,3,B6,1251,N228JB,HPN,RSW,0700,0659,-1,14,0713,179,186,168,1102,1001,4,0959,1005,6,0,0,,,,,,
2015,8,30,7,AA,2067,N750UW,IAH,CLT,1340,1338,-2,11,1349,157,149,128,912,1657,10,1717,1707,-10,0,0,,,,,,
2015,3,29,7,MQ,2998,N843MQ,RIC,ORD,1205,1326,81,11,1337,137,143,109,642,1426,23,1322,1449,87,0,0,,87,0,0,0,0
2015,12,21,1,AA,1928,N737US,CLT,BNA,2235,2236,1,22,2258,81,85,57,328,2255,6,2256,2301,5,0,0,,,,,,
2015,9,10,4,HA,392,N484HA,HNL,ITO,1904,1856,-8,14,1910,55,56,37,216,1947,5,1959,1952,-7,0,0,,,,,,
2015,10,27,2,AA,1646,N3AXAA,11298,15370,1550,1556,6,11,1607,66,59,42,237,1649,6,1656,1655,-1,0,0,,,,,,
2015,4,24,5,AS,69,N792AS,SEA,KTN,1850,1859,9,44,1943,120,147,99,680,2022,4,1950,2026,36,0,0,,27,0,0,9,0
2015,4,24,5,US,582,N675AW,BOS,PHX,0610,0607,-3,21,0628,364,369,330,2300,0858,18,0914,0916,2,0,0,,,,,,
2015,4,18,6,AA,1598,N3BSAA,EWR,MIA,1930,1922,-8,26,1948,200,175,145,1085,2213,4,2250,2217,-33,0,0,,,,,,
2015,1,8,4,US,509,N805AW,PHX,LAX,1945,1938,-7,21,1959,88,91,56,370,1955,14,2013,2009,-4,0,0,,,,,,
2015,10,6,2,DL,81,N723TW,10397,12892,1725,1727,2,14,1741,304,291,260,1947,1901,17,1929,1918,-11,0,0,,,,,,
2015,5,26,2,OO,4577,N429SW,CID,MSP,1745,1750,5,8,1758,67,67,53,220,1851,6,1852,1857,5,0,0,,,,,,
2015,8,22,6,AA,2091,N705UW,DFW,CLT,0955,0952,-3,11,1003,154,135,118,936,1301,6,1329,1307,-22,0,0,,,,,,
2015,8,28,5,WN,3064,N732SW,LAX,SMF,1955,2020,25,11,2031,75,72,57,373,2128,4,2110,2132,22,0,0,,0,0,6,16,0
